No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
213,SO4 2–,250000000.0,8.397940009,14977-37-8,O=[S](=O)([O-])[O-],,,https:// doi. org/ 10. 1016/ 1359- 0197(91) 90065-A,"sulfide, disulfide",Sulfur-containing organics
214,SO4 2–,170000000.0,8.230448921,14977-37-8,O=[S](=O)([O-])[O-],,,https:// doi. org/ 10. 1039/ A9071 33D,"sulfide, disulfide",Sulfur-containing organics
215,S2O8 2–,8800000.0,6.944482672,15092-81-6,O=[S](=O)([O-])OOS(=O)(=O)[O-],,,https:// doi. org/ 10. 1021/ jp036 211i,diol,Polyfunctional / highly functionalized
216,CO3 2–,500000000.0,8.698970004,12172-98-4,O=[C+]([O-])[O-],,,https:// doi. org/ 10. 1016/ 1010- 6030(94) 03903-8,halogeneted,Halogenated organics
217,HCO3 –,220000000.0,8.342422681,71-52-3,OC (=O)[O-],,,https:// doi. org/ 10. 1016/ 1010- 6030(94) 03903-8,alcohol,Oxygenated organics
218,HCO3 –,2400000000.0,9.380211242,71-52-3,OC (=O)[O-],,,https:// doi. org/ 10. 1039/ A9071 33D,alcohol,Oxygenated organics
219,H2O2,4000000000.0,9.602059991,728912-55-8,OO,,,https:// doi. org/ 10. 5194/ acp-6- 2423-2,alcohol,Oxygenated organics
220,H2O2,2000000000.0,9.301029996,728912-55-8,OO,,,https://d oi.o rg/1 0.1 021/j p0266 648,alcohol,Oxygenated organics
221,Fe2+,13000000000.0,10.11394335,15438-31-0,[Fe+2],,,https:// doi. org/ 10. 1016/ 1359- 0197(87) 90152-4,halogeneted,Halogenated organics
222,NO3 –,100000000.0,8.0,133057-96-2,O=[N+]([O-])[O-],,,https:// doi. org/ 10. 1039/ A9071 33D,amine,Nitrogen-containing organics
223,NO2 –,5000000000.0,9.698970004,13536-70-4,O=[N+]([O-]),,,https:// doi. org/ 10. 1039/ A9071 33D,amine,Nitrogen-containing organics
224,OCN–,2200000000.0,9.342422681,22430-66-6,[O-]C#N,,,https:// doi. org/ 10. 1039/ A9071 33D,halogeneted,Halogenated organics
225,SCN–,5300000000.0,9.72427587,2153478-57-8,[S-]C#N,,,https:// doi. org/ 10. 1039/ A9071 33D,"sulfide, disulfide",Sulfur-containing organics
226,SCN–,5300000000.0,9.72427587,2153478-57-8,[S-]C#N,,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,"sulfide, disulfide",Sulfur-containing organics
227,N3 –,5200000000.0,9.716003344,500306-84-3,[N-]=[N+]=[N],,,https:// doi. org/ 10. 1039/ A9071 33D,amine,Nitrogen-containing organics
228,NH2Cl,500000000.0,8.698970004,10599-90-3,NCl,,,https:// doi. org/ 10. 1021/ acs. est. 9b012 12,halogeneted,Halogenated organics
229,Methanol,1000000000.0,9.0,67-56-1,CO,6,,https:// doi. org/ 10. 1039/ A9071 33D,halogeneted,Halogenated organics
230,Methanol,1000000000.0,9.0,67-56-1,CO,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,halogeneted,Halogenated organics
231,Methanol,9000000000.0,9.954242509,67-56-1,CO,7,,https:// doi. org/ 10. 1021/ acs. est. 9b024 62,halogeneted,Halogenated organics
232,Ethanol,2250000000.0,9.352182518,8013-52-3,CCO,2,,https:// doi. org/ 10. 1039/ F1988 84033 19,alkane,Aliphatic hydrocarbons
233,Ethanol,1700000000.0,9.230448921,8013-52-3,CCO,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
234,Ethanol,2200000000.0,9.342422681,8013-52-3,CCO,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
235,1-Propanol,2200000000.0,9.342422681,61844-01-7,CCCO,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
236,2-Propanol,6000000000.0,9.77815125,72207-93-3,CC(C)O,,,https:// doi. org/ 10. 1016/ 1010- 6030(94) 03903-8,alkane,Aliphatic hydrocarbons
237,2-Propanol,1500000000.0,9.176091259,72207-93-3,CC(C)O,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
238,2-Propanol,3200000000.0,9.505149978,72207-93-3,CC(C)O,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
239,2-Butanol,5000000000.0,9.698970004,14898-79-4,CCC(C)O,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
240,tert-Butanol,2200000000.0,9.342422681,31061-75-3,CC(C)(C)O,2,,https:// doi. org/ 10. 1039/ F1988 84033 19,alkane,Aliphatic hydrocarbons
241,tert-Butanol,300000000.0,8.477121255,31061-75-3,CC(C)(C)O,,,https:// doi. org/ 10. 1016/ 1010- 6030(94) 03903-8,alkane,Aliphatic hydrocarbons
242,tert-Butanol,320000000.0,8.505149978,31061-75-3,CC(C)(C)O,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
243,tert-Butanol,478000000.0,8.679427897,31061-75-3,CC(C)(C)O,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
244,tert-Butanol,620000000.0,8.792391689,31061-75-3,CC(C)(C)O,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
245,tert-Butanol,851000000.0,8.92992956,31061-75-3,CC(C)(C)O,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
246,tert-Butanol,1500000000.0,9.176091259,31061-75-3,CC(C)(C)O,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
247,Formaldehyde (hydrated),1400000000.0,9.146128036,463-79-6,O=C(O)O,6,,https:// doi. org/ 10. 1039/ A9071 33D,halogeneted,Halogenated organics
248,Formaldehyde (hydrated),1700000000.0,9.230448921,463-79-6,O=C(O)O,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,halogeneted,Halogenated organics
249,Acetaldehyde,630000000.0,8.799340549,1632-98-0,CC=O,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
250,Acetone,5000000.0,6.698970004,96124-92-4,CC(=O)C,6,,https:// doi. org/ 10. 1039/ A9071 33D,alkane,Aliphatic hydrocarbons
251,Acetone,78000000.0,7.892094603,96124-92-4,CC(=O)C,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
252,2-Butanone,240000000.0,8.380211242,101258-83-7,CCC(=O)C,5.4,,https:// doi. org/ 10. 1039/ B2126 66D,alkane,Aliphatic hydrocarbons
253,"Formic acid, 3.75",130000000.0,8.113943352,64-18-6,O=CO,1,,https:// doi. org/ 10. 1039/ A9071 33D,halogeneted,Halogenated organics
