No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
105,"1,3,7,8-tetramethylbenzo[g]pteridine-2,4-dione",9.832508913,14684-48-1,O=C(N1C)N(C)C2=NC3=CC(C)=C(C)C=C3N=C2C1=O,,,https://doi.org/10.1021/acs.est.1c04326,cyclo,Aromatic & PAHs
106,"1,3,7,8-tetramethylbenzo[g]pteridine-2,4-dione",9.8325,14684-48-1,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)N(C(=O)N3C)C,,,https://doi.org/10.1016/j.jhazmat.2025.137911,alkane,Aliphatic hydrocarbons
107,"1,3-C6H4(OCH3)2",9.84509804,151-10-0,COC1=CC=CC(OC)=C1,,,NIST,alcohol,Oxygenated organics
108,"1,3-DIBROMOBENZENE",8.698970004,1616983-07-3,Brc1cccc(Br)c1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
109,"1,3-DIBROMOBENZENE",8.699,108-36-1,C1=CC(=CC(=C1)Br)Br,,,https://doi.org/10.1016/j.jhazmat.2025.138023,halogeneted,Halogenated organics
110,"1,3-DIOXANE",7.531478917,15042-60-1,C1COCOC1,,,https://doi.org/10.1021/acs.est.1c04326,diol,Polyfunctional / highly functionalized
111,"1,3-Dichlorobenzene",9.0414,541-73-1,C1=CC(=CC(=C1)Cl)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138001,halogeneted,Halogenated organics
112,"1,3-Dichlorobenzene",9.041392685,541-73-1,Clc1cccc(Cl)c1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
113,"1,3-Dimethoxy-benzene",9.84509804,151-10-0,COc1cccc(OC)c1,,25.0,10.1016/j.chemosphere.2018.12.156,alcohol,Oxygenated organics
114,"1,3-Dimethoxybenzene",9.8451,151-10-0,COC1=CC(=CC=C1)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138883,diol,Polyfunctional / highly functionalized
