No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
532,Glutathione?(GSH),10000000.0,7.0,50812-37-8,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,,,"(Deborde and von Gunten, 2008)",halogeneted,Halogenated organics
533,Cysteine,62000000.0,7.79,114507-35-6,N[C@@H](CS)C(O)=O,,,"(Deborde and von Gunten, 2008)",halogeneted,Halogenated organics
534,Methionine,680000000.0,8.83,116155-75-0,CSCC[C@H](N)C(O)=O,,,"(Deborde and von Gunten, 2008)","sulfide, disulfide",Sulfur-containing organics
535,"3,3'-dithiobis-propionic aicd",160000.0,5.2,1609-40-1,OC(=O)CCSSCCC(O)=O,,,"(Deborde and von Gunten, 2008)","sulfide, disulfide",Sulfur-containing organics
536,ascorbate,6000000.0,6.78,37237-57-3,OC[C@H](O)[C@H]1OC(=O)[C-](O)C1=O,,,"(Pattison et al., 2003)",diol,Polyfunctional / highly functionalized
537,inosine,96000.0,4.98,82252-19-5,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(O)ncnc23,,,"(Deborde and von Gunten, 2008)",diol,Polyfunctional / highly functionalized
538,Monochlorodimedon,3600000.0,6.56,7298-89-7,CC1(C)CC(=O)C(Cl)C(=O)C1,,,"(Deborde and von Gunten, 2008)",benzene,Aromatic & PAHs
539,methomyl,28881.0,4.46,1398109-07-3,CNC(=O)O\N=C(/C)SC,,,"(Miles and Oshiro, 1990)","sulfide, disulfide",Sulfur-containing organics
540,carbadox,14700.0,4.17,1185240-06-5,COC(=O)N=NC=C1C=[N+]([O-])c2ccccc2N1O,,,"(Shah et al., 2006)",alcohol,Oxygenated organics
541,N-acetyl-Leu-OMe,0.02,-1.82,1135688-38-8,O=C(OC)[C@H](CC(C)C)NC(C)=O,,,"(Deborde and von Gunten, 2008)",halogeneted,Halogenated organics
542,N-acetyl-(Ala)2-OMe,0.06,-1.22,30802-26-7,O=C(N[C@@H](C)C(OC)=O)[C@H](C)NC(C)=O,,,"(Deborde and von Gunten, 2008)",diol,Polyfunctional / highly functionalized
543,N-acetyl-(Ala)3-OMe,0.11,-0.96,30802-26-7,O=C(N[C@@H](C)C(N[C@@H](C)C(OC)=O)=O)[C@H](C)NC(C)=O,,,"(Deborde and von Gunten, 2008)",diol,Polyfunctional / highly functionalized
544,Glycyl-Glycine ethyl ester,463333.33,5.67,92752-72-2,CCOC(=O)CNC(=O)CN,,,"(Deborde and von Gunten, 2008)",alcohol,Oxygenated organics
545,desoxycarbadox,2570.0,3.41,118828-84-5,COC(=O)N\N=C\c1cnc2ccccc2n1,,,"(Shah et al., 2006)",alcohol,Oxygenated organics
546,bensulfuron-methyl,1487.55,3.17,1309928-44-6,COC(=O)c1ccccc1C[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,,,"(Hu et al., 2015)","sulfide, disulfide",Sulfur-containing organics
