No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1057,Nitrobenzene,9.60206,89059-37-0,O=[N+]([O-])c1ccccc1,9,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
1058,Nitrosodimethylamine,0.238667781,62-75-9,CN(C)N=O,,,doi.org/10.1016/j.watres.2012.06.006,halogeneted,Halogenated organics
1059,Nitrosodimethylamine,1.0,62-75-9,CN(C)N=O,5,,doi.org/10.1016/j.watres.2012.06.006,halogeneted,Halogenated organics
1060,Nonylphenol,5.42,25154-52-3,CCCCCCCCCC1=CC=CC=C1O,8.6,,"https://doi.org/10.1021/es068007p,https://doi.org/10.1016/j.chemosphere.2007.01.059.",cyclo,Aromatic & PAHs
1061,Nonylphenol,5.33,25154-52-3,CCCCCCCCCC1=CC=CC=C1O,8.2,,"https://doi.org/10.1021/es068007p,https://doi.org/10.1016/j.chemosphere.2007.01.058.",cyclo,Aromatic & PAHs
1062,Nonylphenol,5.16,25154-52-3,CCCCCCCCCC1=CC=CC=C1O,7.9,,"https://doi.org/10.1021/es068007p,https://doi.org/10.1016/j.chemosphere.2007.01.057.",cyclo,Aromatic & PAHs
1063,Nonylphenol,5.04,25154-52-3,CCCCCCCCCC1=CC=CC=C1O,7.3,,"https://doi.org/10.1021/es068007p,https://doi.org/10.1016/j.chemosphere.2007.01.056.",cyclo,Aromatic & PAHs
1064,Nonylphenol,4.59,84852-15-3,CC(C)CCC[C@H](C)Cc1ccc(O)cc1,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
1065,Nonylphenol,4.58,25154-52-3,CCCCCCCCCC1=CC=CC=C1O,2,,"https://doi.org/10.1021/es068007p,https://doi.org/10.1016/j.chemosphere.2007.01.055.",cyclo,Aromatic & PAHs
1066,Nonylphenol ethoxylates,2.56,84852-15-3,CCCCCCCCCc1ccc(OCCOCCO)cc1,,,https://doi.org/10.1016/j.jece.2024.112473,benzene,Aromatic & PAHs
