No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Pubchem_cid,Chemical_class_27,Chemical_class_coarse
828,Guanine,5.698970004,73-40-5,CO,,,NIST,887.0,halogeneted,Halogenated organics
829,Adenine,4.857332496,73-24-5,C1=NC2=NC=NC(=C2N1)N,,,NIST,190.0,halogeneted,Halogenated organics
830,Adenine,6.0,73-24-5,C1=NC2=NC=NC(=C2N1)N,7.1,,NIST,190.0,halogeneted,Halogenated organics
831,Carotene,9.799340549,7488-99-5,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C,,,NIST,24090.0,alkane,Aliphatic hydrocarbons
832,Carotene,9.342422681,7488-99-5,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CCCC2(C)C)C)C)C,,,NIST,24090.0,alkane,Aliphatic hydrocarbons
833,Cytosine,4.832508913,71-30-7,C1=C(NC(=O)N=C1)N,,,NIST,597.0,cyclo,Aromatic & PAHs
834,Methylene Blue cation,8.477121255,61-73-4,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,5.9,,NIST,4139.0,"sulfide, disulfide",Sulfur-containing organics
835,His,7.204119983,71-00-1,C1=C(NC=N1)CC(C(=O)O)N,,,NIST,773.0,halogeneted,Halogenated organics
836,His,7.698970004,71-00-1,C1=C(NC=N1)CC(C(=O)O)N,,,NIST,773.0,halogeneted,Halogenated organics
837,His,6.908485019,71-00-1,C1=C(NC=N1)CC(C(=O)O)N,,,NIST,773.0,halogeneted,Halogenated organics
838,Met,6.954242509,63-68-3,CSCCC(C(=O)O)N,,,NIST,876.0,"sulfide, disulfide",Sulfur-containing organics
839,Met,7.477121255,63-68-3,CSCCC(C(=O)O)N,,,NIST,876.0,"sulfide, disulfide",Sulfur-containing organics
840,Met,6.477121255,63-68-3,CSCCC(C(=O)O)N,,,NIST,876.0,"sulfide, disulfide",Sulfur-containing organics
841,Met,6.698970004,63-68-3,CSCCC(C(=O)O)N,,,NIST,876.0,"sulfide, disulfide",Sulfur-containing organics
842,Met,7.322219295,63-68-3,CSCCC(C(=O)O)N,7,,NIST,876.0,"sulfide, disulfide",Sulfur-containing organics
843,Arg,6.0,14791-73-2,C(=O)(O)O.[Ca],7.1,,NIST,6335838.0,halogeneted,Halogenated organics
844,α-(4-Pyridyl)-tert-butyl nitrone,8.146128036,3376-24-7,CC(C)(C)[N+](=CC1=CC=CC=C1)[O-],,,NIST,4390.0,alkane,Aliphatic hydrocarbons
845,4-(N-Methylpyridinium)-tert-butylnitrone,7.903089987,,,,,NIST,,nitro,Nitrogen-containing organics
846,Tryptophan,7.477121255,73-22-3,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,,,NIST,1148.0,halogeneted,Halogenated organics
847,Ala,7.0,56-41-7,CC(C(=O)O)N,,,NIST,602.0,alkane,Aliphatic hydrocarbons
848,Ala,7.477121255,56-41-7,CC(C(=O)O)N,10.6,,NIST,602.0,alkane,Aliphatic hydrocarbons
849,Deoxyadenosine monophosphate,5.0,653-63-4,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,7,,NIST,621.0,diol,Polyfunctional / highly functionalized
850,5-Methyluracil,4.397940009,65-71-4,CC1=CNC(=O)NC1=O,,,NIST,1135.0,cyclo,Aromatic & PAHs
851,5-Methyluracil,6.0,65-71-4,CC1=CNC(=O)NC1=O,7.1,,NIST,1135.0,cyclo,Aromatic & PAHs
852,Cytidine,6.0,65-46-3,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,7.1,,NIST,596.0,diol,Polyfunctional / highly functionalized
853,Bilirubin,9.755874856,635-65-4,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,,,NIST,250.0,alkane,Aliphatic hydrocarbons
854,Bilirubin,9.0,635-65-4,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,,,NIST,250.0,alkane,Aliphatic hydrocarbons
855,"2,5-Dimethylfuran",8.913813852,625-86-5,CC1=CC=C(O1)C,7,,NIST,12266.0,alkane,Aliphatic hydrocarbons
856,Thiourea,8.0,62-56-6,C(=S)(N)N,,,NIST,2723790.0,halogeneted,Halogenated organics
857,Thiourea,6.643452676,62-56-6,C(=S)(N)N,7.1,,NIST,2723790.0,halogeneted,Halogenated organics
858,Tryptamine,7.740362689,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,,,NIST,1150.0,halogeneted,Halogenated organics
859,Tryptamine,6.954242509,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,,,NIST,1150.0,halogeneted,Halogenated organics
860,Tryptamine,9.892094603,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,7,,NIST,1150.0,halogeneted,Halogenated organics
861,NH3,6.919078092,7664-41-7,N,,,NIST,222.0,amine,Nitrogen-containing organics
862,DOPA,8.954242509,59-92-7,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,,,NIST,836.0,diol,Polyfunctional / highly functionalized
863,α-Tocopherol,9.414973348,1959/2/9,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,,,NIST,2116.0,alkane,Aliphatic hydrocarbons
864,NADH,9.301029996,58-68-4,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,7.4,,NIST,928.0,diol,Polyfunctional / highly functionalized
865,Adenosine,6.0,58-61-7,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,7.1,,NIST,191.0,diol,Polyfunctional / highly functionalized
866,Cholesterol,8.397940009,57-88-5,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,,,NIST,304.0,cyclo,Aromatic & PAHs
867,Tyrosine,7.579783597,60-18-4,C1=CC(=CC=C1CC(C(=O)O)N)O,10,,NIST,1153.0,halogeneted,Halogenated organics
868,Tyrosine,7.716003344,60-18-4,C1=CC(=CC=C1CC(C(=O)O)N)O,11.5,,NIST,1153.0,halogeneted,Halogenated organics
869,Tyrosine,7.716003344,60-18-4,C1=CC(=CC=C1CC(C(=O)O)N)O,11.5,,NIST,1153.0,halogeneted,Halogenated organics
870,Penicillamine,6.380211242,52-67-5,CC(C)(C(C(=O)O)N)S,,,NIST,4727.0,"sulfide, disulfide",Sulfur-containing organics
871,Mitomycin C,9.949390007,1950/7/7,CC1=C(C(=O)C2=C(C1=O)N3CC(CC3=C2COC(=O)N)N)N,,,NIST,4210.0,alkane,Aliphatic hydrocarbons
872,"1,4-benzenediol",7.748188027,123-31-9,C1=CC(=CC=C1O)O,10.6,,NIST,785.0,halogeneted,Halogenated organics
873,Eosin dianion,7.431363764,17372-87-1,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br)C(=O)[O-].[Na+].[Na+],,,NIST,11048.0,halogeneted,Halogenated organics
874,"Tryptophan, methyl ester",7.591064607,7303-49-3,COC(=O)[C@H](CC1=CNC2=CC=CC=C21)N,,,NIST,77980.0,alcohol,Oxygenated organics
875,"Tryptophan, methyl ester",6.602059991,7303-49-3,COC(=O)[C@H](CC1=CNC2=CC=CC=C21)N,,,NIST,77980.0,alcohol,Oxygenated organics
876,Crocin,9.255272505,42553-65-1,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O,7.4,,NIST,3510570.0,diol,Polyfunctional / highly functionalized
877,3-methoxyphenol,8.45484486,150-19-6,COC1=CC=CC(=C1)O,,,NIST,9007.0,alcohol,Oxygenated organics
878,Thymidine monophosphate,5.0,365-07-1,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O,7,,NIST,1139.0,diol,Polyfunctional / highly functionalized
879,Diethyl sulfide,7.255272505,352-93-2,CCSCC,7,,NIST,9609.0,"sulfide, disulfide",Sulfur-containing organics
880,N-tert-Butyl-α-phenylnitrone,8.146128036,3376-24-7,CC(C)(C)[N+](=CC1=CC=CC=C1)[O-],,,NIST,4390.0,alkane,Aliphatic hydrocarbons
881,"5,5-Dimethyl-1-pyrroline N-oxide",7.255272505,3317-61-1,CC1(CCC=[N+]1[O-])C,,,NIST,1774.0,alkane,Aliphatic hydrocarbons
882,4-fluorophenol,9.397940009,371-41-5,C1=CC(=CC=C1O)F,11,,NIST,9732.0,halogeneted,Halogenated organics
883,4-fluorophenol,8.544068044,371-41-5,C1=CC(=CC=C1O)F,11,,NIST,9732.0,halogeneted,Halogenated organics
884,3-(2-mercaptoethylamino) propylamine,6.86923172,,,,,NIST,,phosphorus,Phosphorus-containing organics
885,8-Methoxypsoralen,9.204119983,298-81-7,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,,,NIST,4114.0,alcohol,Oxygenated organics
886,2-chlorophenol,8.361727836,95-57-8,C1=CC=C(C(=C1)O)Cl,11.5,,NIST,7245.0,halogeneted,Halogenated organics
887,4-methoxyphenol,8.824125834,150-76-5,COC1=CC=C(C=C1)O,,,NIST,9015.0,alcohol,Oxygenated organics
888,Imidazole,7.531478917,288-32-4,C1=CN=CN1,,,NIST,795.0,halogeneted,Halogenated organics
889,"1,4-Diazabicyclo[2.2.2]octane",8.447158031,280-57-9,C1CN2CCN1CC2,8,,NIST,9237.0,halogeneted,Halogenated organics
890,Crocetin,9.740362689,27876-94-4,C1=CC2=C(C=C(C=C2)O)C(=C1)S(=O)(=O)O,7.8,,NIST,67237.0,"sulfide, disulfide",Sulfur-containing organics
891,Co2+,7.301029996,22541-53-3,[Co+2],,,NIST,104729.0,halogeneted,Halogenated organics
892,Daunomycin,9.230448921,20830-81-3,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,7.8,,NIST,2958.0,diol,Polyfunctional / highly functionalized
893,Daunomycin,9.041392685,20830-81-3,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,7.8,,NIST,2958.0,diol,Polyfunctional / highly functionalized
894,3-Chlorophenoxide ,9.041392685,18938-14-2,,11.5,,NIST,,phosphorus,Phosphorus-containing organics
895,Tris (phenanthroline) cobalt (II) cation（Co (phen)₃²⁺,6.0,14873-89-1,,,,NIST,,amine,Nitrogen-containing organics
896,3-nitrophenol,9.301029996,554-84-7,C1=CC(=CC(=C1)O)[N+](=O)[O-],10,,NIST,11137.0,halogeneted,Halogenated organics
897,2-nitrophenol,7.51851394,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,,,NIST,6947.0,halogeneted,Halogenated organics
898,2-nitrophenol,9.176091259,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,10,,NIST,6947.0,halogeneted,Halogenated organics
899,2-nitrophenol,6.763427994,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,,,NIST,6947.0,halogeneted,Halogenated organics
900,Tris (phenanthroline) cobalt (II) cation（Co (phen)₃²⁺,6.0,14873-89-1,,,,NIST,,amine,Nitrogen-containing organics
