No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1102,"3-cyano-1-[2-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]ethyl]-2-methylguanidine",10.0,69012-16-4,CN=C(NCCSCc1csc(N=C(N)N)n1)NC#N,,,https://doi.org/10.1021/acs.est.1c05493,halogeneted,Halogenated organics
1103,3-cyanopyridine,8.88,1858889-44-7,N#Cc1cccnc1,9.0,25.0,Schevchuck 1969,cyclo,Aromatic & PAHs
1104,3-cyanopyridine,8.875061263,100-54-9,C1=CC(=CN=C1)C#N,,,https://doi.org/10.1021/acsestengg.5c00484,halogeneted,Halogenated organics
1105,"3-cyclohexyl-6-dimethylamino-1-methyl-1,3,5-triazine-2,4-dione",8.959041392,51235-04-2,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,,,https://doi.org/10.1021/acs.est.1c05383,halogeneted,Halogenated organics
1106,3-ethylpentane,9.770852012,617-78-7,CCC(CC)CC,,,https://doi.org/10.1021/acsestengg.5c00142,alkane,Aliphatic hydrocarbons
1107,3-ethylpentane,9.77,128399-47-3,CCC(CC)CC,2.0,25.0,Rudakov 1981,alkane,Aliphatic hydrocarbons
1108,3-hexen-1-ol,9.87,139164-92-4,CCC=CCCO,7.0,25.0,Zhong et al.,alkane,Aliphatic hydrocarbons
1109,"3-hexene-1,6-dioate ion",9.11,67077-43-4,O=C([O-])CC=CCC(=O)[O-],7.0,25.0,NIST,halogeneted,Halogenated organics
1110,3-hydroxy pyridine,9.53,1261938-02-6,Oc1cccnc1,2.0,25.0,NIST,alcohol,Oxygenated organics
1111,3-hydroxy pyridine,9.83,1261938-02-6,Oc1cccnc1,6.5,25.0,NIST,alcohol,Oxygenated organics
1112,3-hydroxy pyridine,9.73,1261938-02-6,Oc1cccnc1,9.0,25.0,Schevchuck 1969,alcohol,Oxygenated organics
1113,3-hydroxy pyridine,9.95,1261938-02-6,Oc1cccnc1,7.0,25.0,Neik 1991,alcohol,Oxygenated organics
1114,"3-hydroxy-13-methyl-12,14,15,16-tetrahydro-11H-cyclopenta[a]phenanthren-17-one",10.23044892,56588-12-6,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,,,https://doi.org/10.1021/acs.est.1c05161,cyclo,Aromatic & PAHs
1115,3-hydroxy-2-butanone,9.46,780699-27-6,CC(C(=O)C)O,5.1,25.0,Hesper and Hermann,alkane,Aliphatic hydrocarbons
1116,3-hydroxy-2-butanone,9.462397998,513-86-0,CC(C(=O)C)O,,,https://doi.org/10.1021/acsestengg.5c00189,alkane,Aliphatic hydrocarbons
1117,3-hydroxy-2-butanone,8.93,780699-27-6,CC(C(=O)C)O,2.0,25.0,"Adams et al., 1965",alkane,Aliphatic hydrocarbons
1118,3-hydroxy-2-butanone,9.462397998,780699-27-6,CC(=O)C(C)O,,,https://doi.org/10.1021/acs.est.1c05193,alkane,Aliphatic hydrocarbons
1119,3-hydroxybutan-2-one,9.462397998,1315052-42-6,CC(O)C(C)=O,,,https://doi.org/10.1021/acs.est.1c04883,alkane,Aliphatic hydrocarbons
1120,3-hydroxykynurenine,10.08,32342-57-7,Nc1c(O)cccc1C(=O)CC(N)C(=O)O,7.4,25.0,NIST,benzene,Aromatic & PAHs
1121,3-iodobenzoate ion,9.46,5377-71-9,O=C([O-])c1cccc(I)c1,9.0,25.0,NIST,benzene,Aromatic & PAHs
1122,3-iodopropionate ion,8.36,6414-69-3,O=C([O-])CCI,7.0,25.0,NIST,halogeneted,Halogenated organics
1123,3-methoxybenzoate ion,9.82,18472-30-5,COc1cccc(C(=O)[O-])c1,7.0,25.0,NIST,alcohol,Oxygenated organics
1124,3-methoxyphenol,10.51,1781571-37-6,COC1=CC=CC(=C1)O,7.0,25.0,"O'Neill and Steenken, 1977",alcohol,Oxygenated organics
1125,3-methoxyphenol,10.50514998,150-19-6,COC1=CC=CC(=C1)O,,,https://doi.org/10.1021/acsestengg.5c00415,alcohol,Oxygenated organics
1126,3-methyl pyridine,9.38,102206-72-4,Cc1cccnc1,9.0,25.0,Schevchuck 1969,cyclo,Aromatic & PAHs
1127,3-methyl pyridine,9.78,102206-72-4,Cc1cccnc1,10.0,25.0,"Solar et al., 1993",cyclo,Aromatic & PAHs
1128,3-methyl pyridine,9.380211242,108-99-6,CC1=CN=CC=C1,,,https://doi.org/10.1021/acsestengg.5c00477,cyclo,Aromatic & PAHs
1129,3-methyl-1-butanol,9.58,742001-53-2,CC(C)CCO,7.0,25.0,Reuvers 1973,alkane,Aliphatic hydrocarbons
1130,3-methyl-1-butanol,9.579783597,123-51-3,CC(C)CCO,,,https://doi.org/10.1021/acsestengg.5c00155,alkane,Aliphatic hydrocarbons
1131,3-methyl-1-oxyl-pyridine,9.62,76893-27-1,CC1=CC=C[NH+2]([O-])[CH-]1,7.0,25.0,NIST,alkane,Aliphatic hydrocarbons
1132,3-methyl-2-butenoate ion,9.77,19089-92-0,CC(C)=CC(=O)[O-],9.2,25.0,NIST,alkane,Aliphatic hydrocarbons
1133,3-methyl-2-butenoate ion,9.18,19089-92-0,CC(C)=CC(=O)[O-],12.0,25.0,NIST,alkane,Aliphatic hydrocarbons
1134,"3-methyl-3-nitro-1,5,9,13-tetraazacyclohexadecanecopper(II) ion",10.0,126221-98-5,CC1([N+](=O)[O-])CNCCCNCCCNCCCNC1.[Cu+2],7.0,25.0,NIST,cyclo,Aromatic & PAHs
1135,3-methyl-4-(2'-hydrazinocarbonylethyl)-2-pyrazolin-5-one,10.04,13615-29-7,CC1=NNC(=O)C1CCC(=O)NN,7.0,25.0,NIST,cyclo,Aromatic & PAHs
1136,3-methylbutyric acid,9.146128036,600-07-7,CC(C)CC(=O)O,,,https://doi.org/10.1021/acs.est.1c05423,alkane,Aliphatic hydrocarbons
1137,3-methylbutyric acid,9.146128036,503-74-2,CC(C)CC(=O)O,,,https://doi.org/10.1021/acsestengg.5c00208,alkane,Aliphatic hydrocarbons
1138,3-methylindole,10.52,173345-59-0,Cc1c[nH]c2ccccc12,9.0,25.0,"Iddon et al., 1971",cyclo,Aromatic & PAHs
1139,3-methylpyridine-N-oxide,9.62,162046-68-6,Cc1ccc[n+]([O-])c1,7.0,25.0,"Neta et al., 1980",cyclo,Aromatic & PAHs
1140,3-methylpyridinium,8.51,1015420-87-7,Cc1ccc[nH+]c1,7.0,25.0,Zhong et al.,cyclo,Aromatic & PAHs
1141,3-methylsulfanylpropanal,9.913813852,13382-53-1,CSCCC=O,,,https://doi.org/10.1021/acs.est.1c04494,"sulfide, disulfide",Sulfur-containing organics
1142,3-methyltetraacetylriboflavin,9.9,69447-57-0,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(Cn1c2nc(=O)n(C)c(=O)c-2nc2cc(C)c(C)cc21)OC(C)=O,10.0,25.0,NIST,diol,Polyfunctional / highly functionalized
1143,3-methylthiophene,9.51,2098012-24-7,Cc1cscc1,11.0,25.0,"Saunders et al., 1978","sulfide, disulfide",Sulfur-containing organics
1144,3-methyluridine,9.75,80541-15-7,Cn1c(=O)ccn(C2OC(CO)C(O)C2O)c1=O,7.0,25.0,NIST,halogeneted,Halogenated organics
1145,3-nitro-2-(4-nitrophenoxy)thiophene,9.11,33786-84-4,[O-][N+](=O)c1ccc(Oc2sccc2[N+]([O-])=O)cc1,7.0,25.0,Breccia et al 1990,cyclo,Aromatic & PAHs
1146,3-nitrophenol,9.7,1394969-99-3,O=[N+]([O-])c1cccc(O)c1,7.0,25.0,Zhong et al.,benzene,Aromatic & PAHs
1147,3-nitrophenoxide ion,9.85,14609-74-6,O=[N+]([O-])c1cccc([O-])c1,9.0,25.0,NIST,benzene,Aromatic & PAHs
1148,3-nitrotoluene,9.91,1805462-05-8,Cc1cccc([N+](=O)[O-])c1,7.0,25.0,Zhong et al.,cyclo,Aromatic & PAHs
1149,3-pentanol,9.32,13403-73-1,CCC(O)CC,1.8,25.0,"Snook and Hamilton, 1974",alkane,Aliphatic hydrocarbons
1150,3-pentanone,9.15,887122-65-8,CCC(=O)CC,7.0,25.0,"Adams et al., 1965",alkane,Aliphatic hydrocarbons
1151,3-pentanone,9.146128036,96-22-0,CCC(=O)CC,,,https://doi.org/10.1021/acsestengg.5c00188,alkane,Aliphatic hydrocarbons
1152,3-pyridinecarboxyamide,9.15,85726-26-7,NC(=O)Cc1cccnc1,7.0,25.0,Zhong et al.,cyclo,Aromatic & PAHs
1153,3-pyridinecarboxyamide,9.146128036,85726-26-7,NC(=O)Cc1cccnc1,,,https://doi.org/10.1021/acs.est.1c04764,cyclo,Aromatic & PAHs
1154,3-pyridinecarboxyamide,9.146128036,98-92-0,C1=CC(=CN=C1)C(=O)N,,,https://doi.org/10.1021/acsestengg.5c00491,halogeneted,Halogenated organics
1155,3-pyridinecarboxylate ion N-oxide,9.36,12590-99-7,O=C([O-])c1ccc[n+]([O-])c1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
1156,3-pyridinol,9.73239376,109-00-2,C1=CC(=CN=C1)O,,,https://doi.org/10.1021/acsestengg.5c00486,halogeneted,Halogenated organics
1157,"3-tert-butyl-5-chloro-6-methyl-1H-pyrimidine-2,4-dione",9.869818208,663194-14-7,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,,,https://doi.org/10.1021/acs.est.1c05263,alkane,Aliphatic hydrocarbons
1158,3-toluenesulfonate ion,9.71,60711-74-2,Cc1ccc(S(=O)(=O)[O-])cc1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
1159,,9.903089987,355120-85-3,S=C=S,,,https://doi.org/10.1021/acs.est.1c05412,"sulfide, disulfide",Sulfur-containing organics
1160,,9.944482672,39400-80-1,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,,,https://doi.org/10.1021/acs.est.1c05160,cyclo,Aromatic & PAHs
1161,"4,4'-biphenyldicarboxylate ion",9.92,34430-08-5,O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2)cc1,9.0,25.0,NIST,cyclo,Aromatic & PAHs
1162,"4,4'-bipyridine",9.72427587,553-26-4,C1=CN=CC=C1C2=CC=NC=C2,,,https://doi.org/10.1021/acsestengg.5c00488,cyclo,Aromatic & PAHs
1163,"4,4'-bipyridine",9.72427587,35268-49-6,c1cc(-c2ccncc2)ccn1,,,https://doi.org/10.1021/acs.est.1c05417,halogeneted,Halogenated organics
1164,"4,4'-bipyridine",9.72,35268-49-6,c1cc(ccn1)c2ccncc2,9.3,25.0,Simic 1971,cyclo,Aromatic & PAHs
1165,"4,4'-tellurobisbenzenamine",10.04,6461-99-0,Nc1ccc([Te]c2ccc(N)cc2)cc1,7.0,25.0,NIST,cyclo,Aromatic & PAHs
1166,"4,5,7-Trihydroxyflavanone",9.176091259,896419-16-2,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,,,https://doi.org/10.1021/acs.est.1c05580,alcohol,Oxygenated organics
1167,"4,5,7-trihydroxyflavanone",9.18,896419-16-2,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,7.0,25.0,Zhong et al.,alcohol,Oxygenated organics
1168,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",9.799340549,1142-43-4,Cc1ncc(CO)c(CO)c1O,,,https://doi.org/10.1021/acs.est.1c05415,cyclo,Aromatic & PAHs
1169,"4,5-dihydroxy-1,3-benzenedisulfonate ion",9.0,22713-46-8,O=S(=O)([O-])c1cc(O)c(O)c(S(=O)(=O)[O-])c1,7.0,25.0,NIST,"sulfide, disulfide",Sulfur-containing organics
1170,"4,6-Dihydroxy-2-methylpyrimidine",9.86923172,1598222-27-5,Cc1nc(O)cc(O)n1,,,https://doi.org/10.1021/acs.est.1c05127,alkane,Aliphatic hydrocarbons
1171,"4,6-Dihydroxy-5-methylpyrimidine",9.62324929,55477-35-5,Cc1c(O)ncnc1O,,,https://doi.org/10.1021/acs.est.1c04684,cyclo,Aromatic & PAHs
1172,"4,6-Dihydroxypyrimidine",9.755874856,15726-40-6,Oc1cc(O)ncn1,,,https://doi.org/10.1021/acs.est.1c05202,alcohol,Oxygenated organics
1173,"4,6-dihydroxy-2-methylpyrimidine",10.08,1598222-27-5,CC1=NC(=CC(=O)N1)O ,7.7,25.0,NIST,alkane,Aliphatic hydrocarbons
1174,"4,6-dihydroxy-2-methylpyrimidine",9.87,1598222-27-5,CC1=NC(=CC(=O)N1)O ,3.7,25.0,NIST,alkane,Aliphatic hydrocarbons
1175,"4,6-dihydroxy-5-methylpyrimidine",9.62,55477-35-5,Cc1c(O)nc[nH]c1=O,4.3,25.0,NIST,cyclo,Aromatic & PAHs
1176,"4,6-dihydroxy-5-methylpyrimidine",9.94,55477-35-5,Cc1c(O)nc[nH]c1=O,7.5,25.0,NIST,cyclo,Aromatic & PAHs
1177,"4,6-dihydroxypyrimidine",9.76,15726-40-6,O=c1cc(O)nc[nH]1,4.0,25.0,NIST,halogeneted,Halogenated organics
1178,"4,6-dihydroxypyrimidine",9.76,15726-40-6,Oc1cc(O)ncn1,7.0,25.0,Zhong et al.,alcohol,Oxygenated organics
