No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
170,mesalazine,21000000.0,7.322219295,121887-11-4,C1=CC(=C(C=C1N)C(=O)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
171,primidone,158000000.0,8.198657087,125-33-7,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
172,salbutamol,302000000.0,8.480006943,238762-34-0,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
173,salicylic acid,210000000.0,8.322219295,1189678-81-6,C1=CC=C(C(=C1)C(=O)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
174,sucralose,1000000.0,6.0,848642-13-7,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
175,terbutaline,1205000000.0,9.080987047,28924-20-1,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
176,triclosan,248000000.0,8.394451681,1020720-00-6,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
177,trimethoprim,1878000000.0,9.273695588,304671-81-6,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
178,venlafaxine,358000000.0,8.553883027,940297-06-3,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
179,dimethyl phthalate,14000000.0,7.146128036,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
180,diethyl phthalate,11000000.0,7.041392685,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
181,dibutyl phthalate,11000000.0,7.041392685,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,7.0,,https://doi.org/10.1021/acs.est.9b02462,diol,Polyfunctional / highly functionalized
182,estrone (E1),366000000.0,8.563481085,15426-98-9,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
183,estradiol (E2),396000000.0,8.597695186,50-28-2,OC1=CC2=C(C=C1)[C@]3([H])[C@@]([C@@](CC[C@@H]4O)([H])[C@]4(C)CC3)([H])CC2,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
184,ethinyl estradiol (EE2),396000000.0,8.597695186,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
185,bisphenol A,582000000.0,8.764922985,68440-77-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
186,methylparaben,161000000.0,8.206825876,222545-59-7,COC(=O)C1=CC=C(C=C1)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
187,nonylphenol,365000000.0,8.562292864,84852-15-3,CCCCCCCCCC1=CC=CC=C1O,7.0,,https://doi.org/10.1021/acs.est.9b02462,cyclo,Aromatic & PAHs
188,4-chloroaniline,523000000.0,8.718501689,108321-68-2,C1=CC(=CC=C1N)Cl,7.0,,https://doi.org/10.1021/acs.est.9b02462,halogeneted,Halogenated organics
189,4-methylcatechol,1184000000.0,9.073351702,1219803-18-5,CC1=CC(=C(C=C1)O)O,7.0,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons
190,4-nitroanisole,25000000.0,7.397940009,1805556-65-3,COC1=CC=C(C=C1)[N+](=O)[O-],7.0,,https://doi.org/10.1021/acs.est.9b02462,alcohol,Oxygenated organics
